Timestamp,TT-M501,CT-M501,VT-M501,ST-M501
04-11-2023 15:30,62.3,18.67,0.28,1200
04-11-2023 15:30,62,18.4,0.25,1200
04-11-2023 15:30,62.2,19.08,0.25,1202
04-11-2023 15:31,62,18.28,0.27,1202
04-11-2023 15:31,62.4,18.93,0.25,1201
04-11-2023 15:31,61.6,19.08,0.28,1201
04-11-2023 15:31,62.4,18.71,0.24,1201
04-11-2023 15:31,62,18.4,0.26,1201
04-11-2023 15:31,61.6,18.72,0.25,1200
04-11-2023 15:31,62.4,18.54,0.22,1200
04-11-2023 15:31,62,18.3,0.23,1202
04-11-2023 15:31,61.4,18.59,0.28,1201
04-11-2023 15:31,61.9,18.51,0.23,1203
04-11-2023 15:31,61.5,18.87,0.25,1202
04-11-2023 15:31,62.1,18.26,0.22,1200
04-11-2023 15:32,62.4,19.18,0.23,1202
04-11-2023 15:32,61.6,18.59,0.26,1200
04-11-2023 15:32,62.5,18.64,0.24,1203
04-11-2023 15:32,61.9,18.58,0.23,1200
04-11-2023 15:32,61.5,18.7,0.23,1202
04-11-2023 15:32,62.4,18.52,0.26,1203
04-11-2023 15:32,61.4,18.63,0.22,1201
04-11-2023 15:32,62.4,19.19,0.26,1200
04-11-2023 15:32,61.4,18.59,0.26,1203
04-11-2023 15:32,62.5,18.19,0.25,1200
04-11-2023 15:32,61.6,18.6,0.25,1203
04-11-2023 15:32,61.6,18.74,0.27,1200
04-11-2023 15:33,61.5,18.45,0.27,1201
04-11-2023 15:33,62.3,18.49,0.23,1200
04-11-2023 15:33,61.8,19.05,0.23,1201
04-11-2023 15:33,62.4,18.47,0.28,1202
04-11-2023 15:33,62.3,18.58,0.25,1202
04-11-2023 15:33,62.3,18.21,0.28,1201
04-11-2023 15:33,61.5,18.69,0.26,1201
04-11-2023 15:33,62.2,18.31,0.25,1203
04-11-2023 15:33,61.9,18.14,0.24,1203
04-11-2023 15:33,62.2,18.57,0.22,1201
04-11-2023 15:33,61.9,18.68,0.27,1200
04-11-2023 15:33,61.4,19.2,0.25,1202
04-11-2023 15:34,61.4,18.45,0.28,1202
04-11-2023 15:34,61.6,18.69,0.21,1203
04-11-2023 15:34,61.8,19.12,0.27,1203
04-11-2023 15:34,62.4,19.18,0.23,1202
04-11-2023 15:34,61.6,18.28,0.27,1201
04-11-2023 15:34,62,18.87,0.27,1200
04-11-2023 15:34,62,18.96,0.25,1202
04-11-2023 15:34,61.7,18.98,0.25,1201
04-11-2023 15:34,62.4,18.49,0.24,1202
04-11-2023 15:34,61.6,19.15,0.25,1200
04-11-2023 15:34,61.9,19.11,0.26,1200
04-11-2023 15:34,61.6,19.17,0.29,1200
04-11-2023 15:35,61.4,18.98,0.24,1202
04-11-2023 15:35,61.7,18.45,0.25,1200
04-11-2023 15:35,62.5,18.63,0.25,1200
04-11-2023 15:35,62.2,19.01,0.23,1202
04-11-2023 15:35,62,18.65,0.26,1200
04-11-2023 15:35,62.1,18.75,0.24,1203
04-11-2023 15:35,62.2,19.09,0.24,1203
04-11-2023 15:35,61.9,18.55,0.24,1201
04-11-2023 15:35,62.5,18.16,0.24,1200
04-11-2023 15:35,61.6,18.97,0.28,1200
04-11-2023 15:35,61.6,18.48,0.22,1202
04-11-2023 15:35,61.6,18.33,0.25,1200
04-11-2023 15:36,61.6,19.01,0.26,1200
04-11-2023 15:36,61.8,18.19,0.23,1201
04-11-2023 15:36,62,18.73,0.27,1202
04-11-2023 15:36,61.6,18.89,0.27,1200
04-11-2023 15:36,61.9,18.42,0.26,1203
04-11-2023 15:36,62.1,18.66,0.27,1201
04-11-2023 15:36,61.9,18.27,0.22,1200
04-11-2023 15:36,62.4,18.91,0.23,1202
04-11-2023 15:36,61.6,19.08,0.25,1201
04-11-2023 15:36,62.2,18.97,0.23,1200
04-11-2023 15:36,61.6,18.81,0.24,1203
04-11-2023 15:36,62,18.96,0.28,1201
04-11-2023 15:37,62.3,18.4,0.25,1200
04-11-2023 15:37,61.6,19.1,0.28,1201
04-11-2023 15:37,62.3,18.79,0.26,1202
04-11-2023 15:37,61.6,18.26,0.24,1201
04-11-2023 15:37,62.1,18.43,0.24,1200
04-11-2023 15:37,62.1,18.23,0.28,1201
04-11-2023 15:37,61.4,19.07,0.26,1200
04-11-2023 15:37,62,18.84,0.28,1200
04-11-2023 15:37,62,19.04,0.26,1200
04-11-2023 15:37,62.5,18.41,0.26,1203
04-11-2023 15:37,62.7,18.85,0.22,1200
04-11-2023 15:37,62.4,18.76,0.27,1202
04-11-2023 15:38,63.5,19.25,0.25,1202
04-11-2023 15:38,63.7,19.69,0.27,1203
04-11-2023 15:38,63.6,21.42,0.26,1203
04-11-2023 15:38,64.5,22.5,0.27,1202
04-11-2023 15:38,64.9,22.46,0.26,1200
04-11-2023 15:38,65.6,23.53,0.29,1203
04-11-2023 15:38,66,24.33,0.31,1201
04-11-2023 15:38,66.1,25.18,0.32,1203
04-11-2023 15:38,66.1,26.79,0.33,1202
04-11-2023 15:38,66.6,26.43,0.33,1202
04-11-2023 15:38,66.4,30.6,0.33,1200
04-11-2023 15:38,67,36.05,0.34,1202
04-11-2023 15:39,66.6,0,0.01,0
04-11-2023 15:39,67.8,0,0.01,0
04-11-2023 15:39,64,0,0.01,0
04-11-2023 15:39,60.6,0,0.01,0
04-11-2023 15:39,58.9,0,0.01,0
04-11-2023 15:39,57.1,0,0.01,0
04-11-2023 15:39,55.9,0,0.01,0
